,opera,track,act,scene_type,track_popularity
234,Otello,Otello Capitano v'attende la fazione,1.07,recitative,9
609,Don Giovanni,Don Giovanni Dunque quello sei tu,2.10-1 ,recitative,9
427,La Fille du régiment,La Fille du régiment Pour une femme de mon nom,1,aria,9
320,La Traviata,La Traviata Addio del passato bei sogni ridenti,3.04,aria,9
490,La Clemenza di Tito,La Clemenza di Tito Sesto de tuoi delitti,2.23,recitative,9
487,La Clemenza di Tito,La Clemenza di Tito Ecco il punto,2.20,aria,9
619,Don Giovanni,Don Giovanni Non mi dir bell'idol mio,2.17-2 ,aria,9
612,Don Giovanni,Don Giovanni Per queste tue manine,2.12-2 ,duet,9
584,Don Giovanni,Don Giovanni Don Ottavio son morta,1.17-1 ,"recitative,aria",9
586,Don Giovanni,Don Giovanni Or sai chi l'onore,1.17-3 ,aria,9
13,Tosca,Tosca Tutta qui la cantoria,1.13,"recitative,choir",9
