,date,opera,language,composer,artist_popularity
484,2010-03-29,La Traviata,Italian,Verdi,130
485,2010-03-30,Hamlet,French,Thomas,180
486,2010-03-31,Aida,Italian,Verdi,126
487,2010-04-01,Die Zauberflöte,German,Mozart,136
488,2010-04-02,Hamlet,French,Thomas,180
489,2010-04-03,Aida,Italian,Verdi,158
490,2010-04-03,La Traviata,Italian,Verdi,130
491,2010-04-05,Hamlet,French,Thomas,177
492,2010-04-06,Die Zauberflöte,German,Mozart,80
493,2010-04-07,La Traviata,Italian,Verdi,130
494,2010-04-08,Die Zauberflöte,German,Mozart,80
495,2010-04-09,Hamlet,French,Thomas,155
496,2010-04-10,Die Zauberflöte,German,Mozart,80
497,2010-04-10,La Traviata,Italian,Verdi,130
498,2010-04-12,Armida,Italian,Haydn,173
499,2010-04-12,Armida,Italian,Rossini,173
500,2010-04-13,La Traviata,Italian,Verdi,123
501,2010-04-14,Tosca,Italian,Puccini,132
502,2010-04-15,Die Zauberflöte,German,Mozart,69
503,2010-04-16,Armida,Italian,Haydn,173
504,2010-04-16,Armida,Italian,Rossini,173
505,2010-04-17,La Traviata,Italian,Verdi,130
506,2010-04-17,Tosca,Italian,Puccini,132
507,2010-04-19,Armida,Italian,Haydn,173
508,2010-04-19,Armida,Italian,Rossini,173
509,2010-04-20,Tosca,Italian,Puccini,116
510,2010-04-21,La Traviata,Italian,Verdi,130
511,2010-04-22,Armida,Italian,Haydn,173
512,2010-04-22,Armida,Italian,Rossini,173
513,2010-04-23,Der Fliegende Holländer,German,Wagner,80
514,2010-04-24,La Traviata,Italian,Verdi,123
515,2010-04-24,Tosca,Italian,Puccini,116
516,2010-04-26,Der Fliegende Holländer,German,Wagner,40
517,2010-04-27,Armida,Italian,Haydn,242
518,2010-04-27,Armida,Italian,Rossini,242
519,2010-04-28,Carmen,French,Bizet,78
520,2010-04-29,Tosca,Italian,Puccini,101
521,2010-04-30,Der Fliegende Holländer,German,Wagner,40
522,2010-05-01,Armida,Italian,Haydn,173
523,2010-05-01,Armida,Italian,Rossini,173
524,2010-05-01,Carmen,French,Bizet,85
525,2010-05-03,Der Fliegende Holländer,German,Wagner,30
526,2010-05-04,Armida,Italian,Haydn,173
527,2010-05-04,Armida,Italian,Rossini,173
528,2010-05-05,Tosca,Italian,Puccini,67
529,2010-05-06,Der Fliegende Holländer,German,Wagner,40
530,2010-05-07,Armida,Italian,Haydn,173
531,2010-05-07,Armida,Italian,Rossini,173
532,2010-05-08,Tosca,Italian,Puccini,65
533,2010-05-10,Der Fliegende Holländer,German,Wagner,40
534,2010-05-11,Armida,Italian,Haydn,173
535,2010-05-11,Armida,Italian,Rossini,173
536,2010-05-13,Tosca,Italian,Puccini,65
537,2010-05-14,Der Fliegende Holländer,German,Wagner,58
538,2010-05-15,Armida,Italian,Haydn,173
539,2010-05-15,Armida,Italian,Rossini,173
540,2010-09-27,Das Rheingold,German,Wagner,220
541,2010-09-28,Les Contes d'Hoffmann,French,Offenbach,209
542,2010-09-29,Rigoletto,Italian,Verdi,118
543,2010-09-30,Das Rheingold,German,Wagner,220
544,2010-10-02,Les Contes d'Hoffmann,French,Offenbach,163
545,2010-10-02,Rigoletto,Italian,Verdi,80
546,2010-10-04,Das Rheingold,German,Wagner,220
547,2010-10-05,Rigoletto,Italian,Verdi,26
548,2010-10-06,Les Contes d'Hoffmann,French,Offenbach,162
549,2010-10-08,Rigoletto,Italian,Verdi,80
550,2010-10-09,Das Rheingold,German,Wagner,220
551,2010-10-09,Les Contes d'Hoffmann,French,Offenbach,162
552,2010-10-11,Boris Godunov,Russian,Mussorgsky,125
553,2010-10-12,Les Contes d'Hoffmann,French,Offenbach,162
554,2010-10-14,Rigoletto,Italian,Verdi,80
555,2010-10-15,Boris Godunov,Russian,Mussorgsky,125
556,2010-10-16,La Bohème,Italian,Puccini,210
557,2010-10-16,Les Contes d'Hoffmann,French,Offenbach,162
558,2010-10-18,Boris Godunov,Russian,Mussorgsky,125
559,2010-10-19,Les Contes d'Hoffmann,French,Offenbach,162
560,2010-10-20,La Bohème,Italian,Puccini,150
561,2010-10-23,Boris Godunov,Russian,Mussorgsky,121
562,2010-10-23,La Bohème,Italian,Puccini,150
563,2010-10-25,Boris Godunov,Russian,Mussorgsky,125
564,2010-10-26,Il Trovatore,Italian,Verdi,45
565,2010-10-28,La Bohème,Italian,Puccini,150
566,2010-10-29,Don Pasquale,Italian,Donizetti,74
567,2010-10-30,Boris Godunov,Russian,Mussorgsky,128
568,2010-10-30,Il Trovatore,Italian,Verdi,7
