,date,opera,language,composer,artist_popularity
878,2012-10-11,Carmen,French,Bizet,102
879,2012-10-12,Il Trovatore,Italian,Verdi,66
880,2012-10-13,Otello,Italian,Rossini,79
881,2012-10-13,Otello,Italian,Verdi,79
882,2012-10-15,Carmen,French,Bizet,90
883,2012-10-16,Otello,Italian,Rossini,79
884,2012-10-16,Otello,Italian,Verdi,79
885,2012-10-17,Il Trovatore,Italian,Verdi,38
886,2012-10-18,Carmen,French,Bizet,90
887,2012-10-20,Il Trovatore,Italian,Verdi,38
888,2012-10-20,Otello,Italian,Rossini,79
889,2012-10-20,Otello,Italian,Verdi,79
890,2012-10-25,Il Trovatore,Italian,Verdi,38
891,2012-10-26,Le Nozze di Figaro,Italian,Mozart,201
892,2012-10-27,Otello,Italian,Rossini,101
893,2012-10-27,Otello,Italian,Verdi,101
894,2012-11-02,Turandot,Italian,Puccini,110
895,2012-11-03,Le Nozze di Figaro,Italian,Mozart,166
896,2012-11-05,Turandot,Italian,Puccini,110
897,2012-11-07,Le Nozze di Figaro,Italian,Mozart,163
898,2012-11-09,Turandot,Italian,Puccini,110
899,2012-11-10,Le Nozze di Figaro,Italian,Mozart,163
900,2012-11-13,Le Nozze di Figaro,Italian,Mozart,163
