,index,opera,track,act,scene_type,track_popularity,youtube_link
81,69,Götterdammerung,Götterdammerung Siegfrieds Rheinfahrt,,instrumental,15,http://www.youtube.com/watch?v=DpmlAG-X4DY
82,70,Götterdammerung,Götterdammerung Siegfrieds Tod,,instrumental,14,http://www.youtube.com/watch?v=wXh5JprKqiU
83,71,Götterdammerung,Götterdammerung Brunnhilde heilige Braut,,aria,12,http://www.youtube.com/watch?v=wAR521Zkffk
84,72,Götterdammerung,Götterdammerung Zu neuen Taten,1,,4,http://www.youtube.com/watch?v=QLg5jPlLC08
85,73,Falstaff,Falstaff Dal labbro il canto estasiato vola,3.06-1 ,aria,25,http://www.youtube.com/watch?v=MtnLbOA_abA
86,74,Falstaff,Falstaff E sogno? o realta?,2.05-1 ,aria,24,http://www.youtube.com/watch?v=6Jigx8fzP2o
87,75,Falstaff,Falstaff Tutto nel mondo e burla,3.15-2 ,"ensemble,finale",19,http://www.youtube.com/watch?v=eZOClxjcSYg
88,76,Falstaff,Falstaff Ah! Ah! Ah! Ah!,3.14,recitative,17,http://www.youtube.com/watch?v=4FcaQrfCHPw
89,77,Falstaff,Falstaff Fulgida Alice amor t'offro,1.06,"recitative,ensemble",6,http://www.youtube.com/watch?v=dzIaqx9opX8
90,78,Don Giovanni,Don Giovanni La ci darem la mano,1.12,duet,45,http://www.youtube.com/watch?v=iJnJjpMdT3Y
91,79,Don Giovanni,Don Giovanni Don Giovanni a cenar teco,2.20,recitative,29,http://www.youtube.com/watch?v=RzQMtnjiceY
92,80,Don Giovanni,Don Giovanni Sola sola in buio loco,2.08,sextet,25,http://www.youtube.com/watch?v=PaUSkXQZZ_s
93,81,Don Giovanni,Don Giovanni Leporello!,2.01-2 ,recitative,23,http://www.youtube.com/watch?v=INF9r5jju0A
94,82,Don Giovanni,Don Giovanni Ah! taci ingiusto core,2.02-1 ,trio,23,http://www.youtube.com/watch?v=1IwaqfepCgc
95,83,Die Zauberflöte,Die Zauberflöte Der hölle Rache,2.11,aria,48,http://www.youtube.com/watch?v=JzFi-7H9TKs
96,84,Die Zauberflöte,Die Zauberflöte Overture,1.01,instrumental,35,http://www.youtube.com/watch?v=s2Gedb05J5M
97,85,Die Zauberflöte,Die Zauberflöte Papagena Papagena Papagena!,2.30,quartet,35,http://www.youtube.com/watch?v=87UE2GC5db0
98,86,Die Zauberflöte,Die Zauberflöte Zu hilfe zu hilfe!,1.02,quartet,21,http://www.youtube.com/watch?v=61eIRl8BQFY
99,87,Die Zauberflöte,Die Zauberflöte Der Vogelfänger bin ich ja,1.04,aria,21,http://www.youtube.com/watch?v=DpMCRXyW7nk
100,88,Die Walküre,Die Walküre Winterstürme wichen dem Wonnemond,1.08,aria,30,http://www.youtube.com/watch?v=Ukufk2YUVKY
101,89,Die Walküre,Die Walküre Du bist der Lenz,1.09,aria,23,http://www.youtube.com/watch?v=NB5e62wSjEQ
102,90,Die Walküre,Die Walküre Overture,1.01,instrumental,22,http://www.youtube.com/watch?v=ncbHEKkdxIM
103,91,Die Walküre,Die Walküre Siegmund heiss ich,1.11,aria,20,http://www.youtube.com/watch?v=vaBuZ42lTss
104,92,Die Walküre,Die Walküre Leb wohl du kühnes herrliches Kind,3.06,aria,18,http://www.youtube.com/watch?v=4tDP-K1dQ-M
105,93,Dialogues Carmelites,Dialogues Carmelites Salve Regina,3,,7,http://www.youtube.com/watch?v=5zIVNSJNLno
106,94,Dialogues Carmelites,Dialogues Carmelites Soeur Blanche de l'Agonie du Christ,1,aria,1,http://www.youtube.com/watch?v=VrW995Z0DJs
107,95,Dialogues Carmelites,Dialogues Carmelites Ave Maria,2,,1,http://www.youtube.com/watch?v=PUddIT7woMA
108,96,Das Rheingold,Das Rheingold Das Rheingold,,instrumental,45,http://www.youtube.com/watch?v=meGuEnjERxc
109,97,Das Rheingold,Das Rheingold Walhall,,instrumental,45,http://www.youtube.com/watch?v=b80Jw8MuZxo
110,98,Das Rheingold,Das Rheingold Abendlich strahlt der Sonne Auge,1,aria,7,http://www.youtube.com/watch?v=zB53Tg1_EdQ
111,99,Das Rheingold,Das Rheingold Nibelheim,,instrumental,6,http://www.youtube.com/watch?v=LQ3q3LyjnmA
112,100,Das Rheingold,Das Rheingold Overture,1.01,instrumental,5,http://www.youtube.com/watch?v=wiyoLa9z1ao
113,101,Carmen,Carmen L'amour est un oiseau rebelle (Habanera),1.07,aria,45,http://www.youtube.com/watch?v=K2snTkaD64U
114,102,Carmen,"Carmen Votre toast, je peux vous le rendre (Toreador Song)",2.04,aria,42,http://www.youtube.com/watch?v=2fDkxQBjgFU
115,103,Carmen,Carmen Overture,1.01,instrumental,33,http://www.youtube.com/watch?v=pmuFOuh3QHs
116,104,Carmen,Carmen Avec la garde montante,1.04,choir,27,http://www.youtube.com/watch?v=nf_2cu_i34U
117,105,Carmen,Carmen La fleur que tu m'avais jetee,2.09,aria,27,http://www.youtube.com/watch?v=P0tUnqvRanM
118,106,Aida,Aida Marcia trionfale,2.08-1 ,instrumental,35,http://www.youtube.com/watch?v=AssDQbaIP_I
119,107,Aida,Aida Si corre voce che l'Etiope,1.02,recitative,27,http://www.youtube.com/watch?v=WJOj0i_3Qcs
120,108,Aida,Aida Alta cagion v'aduna,1.07,aria,26,http://www.youtube.com/watch?v=lhxxpYTT81k
121,109,Aida,Aida Radames Radames Radames!,4.09,recitative,26,http://www.youtube.com/watch?v=VbSL6C0JQYQ
122,110,Aida,Aida Ritorna vincitor,1.10-1 ,aria,25,http://www.youtube.com/watch?v=sg6ESlimzQU
123,111,Adriana Lecouvreur,Adriana Lecouvreur Io son l'umile ancella,1.04-2 ,aria,40,http://www.youtube.com/watch?v=ImawQV8c8yg
124,112,Adriana Lecouvreur,Adriana Lecouvreur L'anima ho stanca,2.03,aria,16,http://www.youtube.com/watch?v=JA094MjJ_P8
125,113,Adriana Lecouvreur,Adriana Lecouvreur Acerba volutta,2.01,aria,14,http://www.youtube.com/watch?v=BArzd1wOicg
126,114,Adriana Lecouvreur,Adriana Lecouvreur E quella dama al certo,3.07,recitative,8,http://www.youtube.com/watch?v=ybX4wlFdgUQ
127,115,Adriana Lecouvreur,Adriana Lecouvreur La dolcissima effigie,1.09,aria,7,http://www.youtube.com/watch?v=mEuRpxsEAaA
