,opera,composer,language
2318,Goyescas,Granados,Spanish
2319,Graf von Luxembourg,Léhar,German
2332,Grande Duchesse Gerolstein,Offenbach,French
2333,Griselda,Vivaldi,Italian
2336,Griselda,Cottrau,Italian
2337,Gräfin Mariza,Kalman,German
2364,Gugliermo Ratcliff,Mascagni,Italian
2365,Guillaume Tell,Rossini,French
2385,Guntram,Strauss,German
2386,Götterdammerung,Wagner,German
2404,H.M.S. Pinafore,Sullivan,English
2414,Halka,Moniuszko,Russian
2430,Hans Heiling,Marschner,German
2431,Happy End,Weill,German
2435,Harzreise,Brahms,German
2436,Hoffnung der Frauen Mörder,Hindemith,German
2438,Hoheit tanzt Walzer,Ascher,German
2458,Hänsel und Gretel,Humperdinck,German
2488,Hérodiade,Massenet,French
2499,I Capuleti ed i Montecchi,Bellini,Italian
2503,I Masnadieri,Verdi,Italian
2539,I Puritani,Bellini,Italian
2593,I Vespri Siciliani,Verdi,Italian
2656,I Was Looking at the Ceiling and Then I Saw the Sky,Adams,English
2659,I due Foscari,Verdi,Italian
2674,Idomeneo,Mozart,Italian
2745,Ifigenia en Aulide,Gluck,French
2755,Il Bajazet,Vivaldi,Italian
2757,Il Barbiere di Siviglia,Rossini,Italian
2819,Il Corsaro,Verdi,Italian
2831,Il Figliuol prodigo,Ponchielli,Italian
2833,Il Fra due litiganti,Sarti,Italian
2834,Il Giuramento,Mercadante,Italian
2838,Il Matrimonio Segreto,Cimarosa,Italian
2877,Il Pirata,Bellini,Italian
2923,Il Re,Giordano,Italian
2924,Il Re Pastore,Mozart,Italian
2929,La Sonnambula,Bellini,Italian
2966,Il Ritorno d'Ulisse in patria,Monteverdi,Italian
2968,Il Signor Bruschino,Rossini,Italian
2987,Il Sogno di Scipione,Mozart,Italian
3011,Il Tabarro,Puccini,Italian
3019,Il Tedesco,Martini,French
3020,Il Trovatore,Verdi,Italian
3085,Il Turco in Italia,Rossini,Italian
3131,Il Viaggio a Reims,Rossini,Italian
3135,Im Weissen Rossl,Benatzky,German
3143,Indigo und 40 Räuber,Strauss jr,German
3144,Intermezzo,Strauss,German
3145,Iolanta,Tchaikovsky,Russian
3166,Iphigenia e Tracia,Nebra,Italian
3167,Iphigénie en Tauride,Gluck,French
3196,Iris,Mascagni,Italian
3205,Isabeau,Mascagni,Italian
3206,Isola d'Alcina,Gazzaniga,Italian
3207,Israel in Egypt,Handel,English
3211,Ivan Soesanin,Glinka,Russian
3212,Jolie fille de Perth,Bizet,French
3214,Jongleur Notre Dame,Massenet,French
3222,Joseph in Egypte,Méhul,French
3224,Juditha Triumphans,Vivaldi,Italian
3225,Jérusalem,Verdi,French
3273,Katja Kabanova,Janacek,Russian
3294,König in Ägypten Thamos,Mozart,German
3302,L' Elisir d'amore,Donizetti,Italian
3345,L' Incoronazione di Poppea,Monteverdi,Italian
3381,L' Inganno felice,Rossini,Italian
3400,L' Italiana in Algeria,Rossini,Italian
3455,L' Occasione fa il ladro,Rossini,Italian
3474,L' Orfeo,Monteverdi,Italian
3482,La Battaglia di Legnano,Verdi,Italian
3521,La Bohème,Puccini,Italian
3526,La Calisto,Cavalli,Italian
3528,La Cenerentola,Rossini,Italian
3588,La Clemenza di Tito,Mozart,Italian
3636,La Damnation de Faust,Berlioz,French
3651,La Donna del lago,Rossini,Italian
3661,La Favorita,Donizetti,Italian
3711,La Fedelta Premiata,Haydn,Italian
3781,La Fida ninfa,Vivaldi,Italian
3787,La Fille du régiment,Donizetti,French
3829,La Finta giardiniera,Mozart,Italian
3884,La Finta semplice,Mozart,Italian
3938,La Forza del destino,Verdi,Italian
4003,La Gazza ladra,Rossini,Italian
4007,La Gioconda,Ponchielli,Italian
4061,La Juive,Halevy,French
4082,La Muette de Portici,Auber,French
4090,La Pietra del Paragone,Rossini,Italian
4092,La Périchole,Offenbach,French
4096,La Rondine,Puccini,Italian
4102,La Scala di Seta,Rossini,Italian
4119,La Serva padrona,Pergolesi,Italian
4172,La Straniera,Bellini,Italian
4217,La Traviata,Verdi,Italian
4274,La Vestala,Spontini,French
4299,La Vida Breve,Falla,Spanish
4302,La Wally,Catalani,Italian
4309,Lakmé,Delibes,French
4357,Land Without Music (film),Strauss,English
4361,Land des Lächelns,Léhar,German
4376,Le (Dinorah) Pardon de Ploërmel,Meyerbeer,Italian
4379,Le Africaine,Meyerbeer,French
4456,Le Cid,Massenet,French
4463,Le Domino Noir,Auber,French
4464,Le Heure Espagnolle,Ravel,French
4467,Le Nozze di Figaro,Mozart,Italian
4547,Le Oca del Cairo,Mozart,Italian
4550,Le Postillon Lonjumeau,Adam,French
4558,Le Prophète,Meyerbeer,French
4563,Le Roi d'Ys,Lalo,French
4571,Le Roi de Lahore,Massenet,French
4572,Le Rossignol,Stravinsky,Russian
4574,Le Toreador,Adam,French
4575,Le Villi,Puccini,Italian
4579,Lear,Reimann,German
4606,Legend of Atlantis,Capdevielle,
4607,Les (The Pearl Fishers) Pêcheurs de perles,Bizet,French
4639,Les Abencérages,Cherubini,French
4641,Les Béatitudes,Franck,French
4650,Les Contes d'Hoffmann,Offenbach,French
4673,Les Hugenots,Meyerbeer,French
4692,Les Misérables,Schönberg,English
4693,Les Troyens,Berlioz,French
4713,Linda di Chamounix,Donizetti,Italian
4779,Lisa del foco mio,Scarlatti,Italian
4780,Little Women,Adamo,English
4787,Lo Schiavo,Gomes,Italian
4788,Lo Sposo Deluso,Mozart,Italian
4792,Lodoletta,Mascagni,Italian
4796,Lohengrin,Wagner,German
4815,Lombardi Prima Crociata,Verdi,Italian
4868,Loreley,Catalani,Italian
4878,Lost in the Stars,Weill,English
4888,Louise,Charpentier,French
4915,Lucia di Lammermoor,Donizetti,Italian
4951,Lucio Silla,Mozart,Italian
5034,Lucrezia Borgia,Donizetti,Italian
5048,Luisa Fernanda,Moreno Torroba,
5050,Luisa Miller,Verdi,Italian
5081,Macbeth,Verdi,Italian
5150,Oberon,Weber,German
5152,Madame Butterfly,Puccini,Italian
5213,Madame Pompadour,Fall,German
5214,Manon,Massenet,French
5216,Partenope,Handel,Italian
5307,Manon Lescaut,Auber,French
5308,Manon Lescaut,Puccini,Italian
5341,Pastorella vaga bella,Handel,Italian
5349,Maometto II,Rossini,Italian
